id,scam_flag,message
201,1,ALERT: Due bill detected. Visit bank.com to make payment immediately!
202,1,"ALERT: Your mortgage is at risk! Pay $1,000 at bank.com."
203,1,Congratulations! You won a free bill payment! Click link to claim.
204,1,Final Notice: Your phone service will be SUSPENDED TODAY unless you pay $50 now.
205,1,FINAL WARNING: Your insurance is invalid! Pay $300 at insurance-site.
206,1,Immediate action needed! Pay your outstanding bill to avoid court action.
207,1,Immediate action required! Pay your gas bill before shutdown: fraud-site.
208,1,Internet service TERMINATION WARNING! Click link to resolve.
209,1,Pay your toll pass fee NOW to avoid fines. Click link.
210,1,Phone bill unpaid—service will be blocked! Send money via Zelle to 201-987-5645.
211,1,Reminder: Your Netflix account will be suspended! Pay $15 to pay.
212,1,Suspicious account activity detected! Pay $250 to verify your identity.
213,1,Tax violation detected! Send $500 to avoid prosecution.
214,1,Unpaid electricity bill. Pay $200 NOW at payment.com or legal action will start.
215,1,URGENT: Your electricity bill is PAST DUE! Pay now to avoid arrest! link
216,1,WARNING: Your water service will be disconnected in 24 hours! Pay here: link
217,1,You have an unpaid loan! Avoid blacklisting—pay now at loan-site.
218,1,Your car insurance is EXPIRED! Pay $199 now via Bitcoin to renew.
219,1,Your credit card has an outstanding balance. Send $500 to random-account to clear it.
220,1,Your internet bill is overdue! Click ISP.com to pay instantly.
221,1,Your medical insurance is SUSPENDED! Restore it by paying at site.
222,1,Your phone bill is flagged as FRAUDULENT. Verify your payment at link.
223,1,Your rent payment is missing. Confirm payment at landlord-link.
224,1,Your student loan is IN DEFAULT! Pay $450 at debt-relief.
225,1,Your subscription is ending today! Send $20 via gift card to renew.
226,1,Account Hold: Your Amazon Prime membership is at risk. Sign in now to reactivate: amazon.com
227,1,Apple ID Suspended: Log in immediately to restore access: appleid.com
228,1,Bank Interest Rate Change: View your updated savings rate by logging in: phishing-banking-updates.com
229,1,Bank Transfer Delayed: Your recent transaction was held. Log in to release funds: banking.com
230,1,Banking Alert: Your online banking password was reset. Log in to confirm: banking.com
231,1,Billing Issue Detected: Your Netflix subscription failed. Log in to update your payment details: phishing-link
232,1,Bitcoins Sent to Your Wallet: Log in to confirm the transaction: crypto-login.com
233,1,Crypto Wallet Alert: Your balance is at risk! Log in to secure it: crypto.com
234,1,Delivery Attempt Failed: Your package could not be delivered. Log in to reschedule: shipping.com
235,1,E-ZPass Suspension: Your account has been disabled. Log in to resolve: ezpass.com
236,1,Emergency Contact Request: Someone tried to access your contacts! Log in to review: security-alert.com
237,1,Facebook Login Needed: Your account may be suspended! Secure it now: phishing-fb.com
238,1,Final Notice: Your email storage is full. Log in now to prevent account suspension: email.com
239,1,Final Warning: Your bank card has been frozen. Restore access now: card-update.com
240,1,Google Security Notice: Someone signed into your account. Verify at: google.com
241,1,Government Grant Approved: Log in to access funds: grants.com
242,1,Important: Your credit card was used for an unauthorized transaction. Log in to dispute: bank.com
243,1,Instagram Security Check: We detected unusual login attempts. Verify at: ig.com
244,1,IRS Alert: Your tax account has errors. Sign in to fix them: irs-verification.com
245,1,Job Offer Confirmation: Log in to accept your new job position: job-portal.com
246,1,Lottery Winner Confirmation: You won a cash prize! Log in now to verify: lottery.com
247,1,New Friend Request on Facebook: See who added you: social.com
248,1,New Voicemail Received: Log in to listen: voicemail.com
249,1,Overdue Parking Ticket: Avoid penalties by logging in now: parking-tickets.com
250,1,Overdue Payment Alert: Your phone bill is overdue. Log in now to avoid service suspension: carrier.com
251,1,Payment Declined: Update your billing details now at: payment-portal.com
252,1,PayPal Security Check: Unusual activity detected. Confirm your details at: paypal-login.com
253,1,Pending Legal Action: Log in now to resolve your case: legal-notice.com
254,1,Security Alert: Someone tried to access your account! Secure it now: fraudulent-link
255,1,Security Upgrade Required: Your account must be updated for enhanced security: secure.com
256,1,Social Security Account Notice: Secure your benefits by logging in: phishing-ssa.com
257,1,Streaming Service Renewal: Your subscription is on hold. Log in to continue: streaming.com
258,1,Student Loan Forgiveness Approved: Check your status at: loan-forgiveness.com
259,1,Tax Refund Available: You have a pending refund! Log in to claim it now: IRS.com
260,1,Toll Road Payment Due: Avoid penalties by logging in to pay: toll-payment.com
261,1,Unusual Login Attempt: We noticed a login from a new device. Verify it here: login.com
262,1,URGENT: Government Benefit Update: Log in now to claim: gov-benefits.com
263,1,URGENT: Your bank account has been locked due to suspicious activity. Log in now to verify: bank.com
264,1,Warning: Your PayPal account has been flagged. Confirm your identity now: paypal.com
265,1,WhatsApp Expiring Soon: Your account will be deleted! Log in to keep it active: whatsapp.com
266,1,You Have a Gift Card Balance: Log in to redeem it now: giftcards.com
267,1,You Have a Pending Invoice: Log in to view details: invoice.com
268,1,Your Account is Compromised: Immediate action needed! Secure your account at: security.com
269,1,Your Amazon Gift Card is Ready: Log in to redeem: amazon-gift.com
270,1,Your Bank Statement is Ready: Access it now at: phishing-banking.com
271,1,Your Email Will Be Deleted: Prevent account closure by logging in: email-support.com
272,1,Your Loan Was Approved: Check your application status by logging in now: loan-site.com
273,1,Your Microsoft Account is Blocked: Log in now to verify: microsoft-login.com
274,1,Your Order is Delayed: Log in to track shipping: shipment.com
275,1,Your Paycheck is Ready: Log in to access your payroll details: work-pay.com
276,1,Amazon Order Confirmation: Use OTP 953214 to verify your recent purchase.
277,1,Apple ID Suspicious Login: Use OTP 281745 to verify and reset your password.
278,1,Bank Account Verification Required: Confirm with OTP 538291.
279,1,Congratulations! You've won a free vacation! Enter OTP 217536 to confirm.
280,1,Crypto Wallet Transfer: Use OTP 742069 to confirm your Bitcoin withdrawal.
281,1,Final Notice: You must verify OTP 610482 to prevent account suspension.
282,1,Final Step: Your password reset OTP is 481359. Complete at password.com.
283,1,Final Warning: Enter OTP 523814 to restore your email access.
284,1,Final Warning: Your mortgage rate is changing. Confirm details with OTP 732405.
285,1,Fraudulent Activity Detected! Secure your online banking with OTP 875620.
286,1,Google Account Recovery: Use OTP 728491 to change your password.
287,1,Government Relief Funds Available: Use OTP 361924 to claim yours now!
288,1,IRS Tax Error Detected: Use OTP 315869 to fix your filing.
289,1,Netflix Payment Failed: Enter OTP 581693 to avoid service interruption.
