id,scam_flag,message
3,0,Electricity bill due April 10. Amount: $125. Pay to avoid late fees.
6,0,Gym renewal reminder: Pay $50 before April 16 to maintain access.
7,0,Health club membership renewal of $99 is due on April 13. Pay online.
10,0,Internet subscription renewal due on April 9. Pay $50 to continue your service.
12,0,Loan repayment of $500 is due April 14. Pay via bank transfer.
13,0,"Monthly mortgage payment of $1,500 is due April 10. Pay to avoid penalties."
16,0,Reminder: Your car loan installment of $300 is due on April 5. Pay to avoid penalties.
17,0,Reminder: Your magazine subscription of $20 is due April 8.
19,0,Statement Alert: Your credit card bill of $150 is due by April 8. Pay to avoid interest.
20,0,Streaming service charge of $18 due April 14. Auto-debit will apply.
23,0,Utility bill reminder: Pay $75 for electricity before April 18.
25,0,Water bill due April 18: $70. Pay online or at your nearest service center.
27,0,You have an outstanding balance of $35 for your water bill. Pay before April 17.
28,0,Your Amazon Prime subscription will renew on April 8 for $12.99. Cancel if needed.
30,0,Your credit card bill payment is pending. Due date: April 10. Amount: $500.
31,0,Your electricity bill of $120 is due on April 10. Pay now to avoid late fees.
32,0,"Your gas bill for this month is $40, due April 14. Pay via your online account."
34,0,Your gym membership renewal fee of $45 is due on April 20. Pay online.
36,0,Your home insurance policy renewal of $450 is due on April 22.
37,0,Your home internet bill of $70 is due on April 7. Pay to avoid disconnection.
39,0,Your internet bill of $60 is due in 3 days. Avoid service disruption by paying now.
42,0,Your monthly toll pass recharge of $30 is due on April 11. Recharge now.
43,0,Your parking permit renewal fee of $60 is due April 11.
46,0,Your power bill of $130 is due April 12. Pay through our mobile app.
47,0,Your property tax of $500 is due next week. Avoid penalties by paying on time.
52,0,"Dear Alan, following your final interview, we are pleased to offer you the position of Financial Analyst at ABC Bank. Please find the contract attached."
56,0,"Dear Caroline, we're excited to invite you to join our Teaching Assistant team at Greenfield Academy. Please let us know your decision by Friday."
57,0,"Dear Caroline, we're excited to offer you the Social Media Manager role at TrendSetters. Let us know your availability for a call to discuss details."
61,0,"Good news, Jane Doe! You've been selected for our Graduate Trainee Program at Delta Industries. Please review the contract and confirm your acceptance."
62,0,"Hello Rebecca, after reviewing your application, we'd like to offer you a remote position as a Virtual Assistant. Reply to receive the contract details."
66,0,"Hello John, we're offering you a role as a Customer Service Representative at CallTech. Starting salary: $45,000/year. Let us know if you'd like to proceed."
67,0,"Hello John, we're thrilled to offer you a role at Fresh Foods as an Assistant Manager. Reply by April 5 to proceed with onboarding."
